
# Surface 0 of 1 surfaces

# Curve title: "'fS_M27.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
1.11241 -0.135452 2.5 
1.11873 -0.141603 2.5 
1.12274 -0.145485 2.5 
1.12876 -0.15135 2.5 
1.13307 -0.155518 2.5 
1.1388 -0.161097 2.5 
1.14339 -0.165552 2.5 
1.14883 -0.170844 2.5 
1.15886 -0.173332 2.5 
1.16119 -0.175585 2.5 
1.1689 -0.183078 2.5 
1.17152 -0.185619 2.5 
1.17893 -0.192824 2.5 
1.18185 -0.195652 2.5 
1.18896 -0.20257 2.5 
1.19218 -0.205686 2.5 
1.199 -0.212317 2.5 
1.20251 -0.215719 2.5 
1.20903 -0.222063 2.5 
1.21284 -0.225753 2.5 
1.21906 -0.23181 2.5 
1.22317 -0.235786 2.5 
1.2291 -0.241558 2.5 
1.2335 -0.245819 2.5 
1.23913 -0.251305 2.5 
1.24916 -0.25379 2.5 
1.2513 -0.255853 2.5 
1.2592 -0.263536 2.5 
1.26163 -0.265886 2.5 
1.26923 -0.273283 2.5 
1.27196 -0.27592 2.5 
1.27926 -0.283029 2.5 
1.28228 -0.285953 2.5 
1.2893 -0.292776 2.5 
1.29261 -0.295987 2.5 
1.29933 -0.302523 2.5 
1.30294 -0.30602 2.5 
1.30936 -0.31227 2.5 
1.31327 -0.316054 2.5 
1.3194 -0.322018 2.5 
1.3236 -0.326087 2.5 
1.32943 -0.331765 2.5 
1.33946 -0.334248 2.5 
1.3414 -0.33612 2.5 
1.3495 -0.343994 2.5 
1.35173 -0.346154 2.5 
1.35953 -0.353741 2.5 
1.36206 -0.356187 2.5 
1.36957 -0.363488 2.5 
1.37239 -0.366221 2.5 
1.3796 -0.373235 2.5 
1.38272 -0.376254 2.5 
1.38963 -0.382982 2.5 
1.39304 -0.386288 2.5 
1.39967 -0.39273 2.5 
1.40337 -0.396321 2.5 
1.4097 -0.402477 2.5 
1.4137 -0.406355 2.5 
1.41973 -0.412225 2.5 
1.42977 -0.414705 2.5 
1.43151 -0.416388 2.5 
1.4398 -0.424451 2.5 
1.44183 -0.426421 2.5 
1.44983 -0.434198 2.5 
1.45216 -0.436455 2.5 
1.45987 -0.443945 2.5 
1.46249 -0.446488 2.5 
1.4699 -0.453693 2.5 
1.47282 -0.456522 2.5 
1.47993 -0.46344 2.5 
1.48315 -0.466555 2.5 
1.48997 -0.473188 2.5 
1.49348 -0.476589 2.5 
1.5 -0.482936 2.5 

# Contour 1, label: 
0.592474 0.326087 2.5 
0.59699 0.321682 2.5 
0.602802 0.316054 2.5 
0.607023 0.311935 2.5 
0.61313 0.30602 2.5 
0.617057 0.302188 2.5 
0.623457 0.295987 2.5 
0.62709 0.29244 2.5 
0.637124 0.289945 2.5 
0.641252 0.285953 2.5 
0.647157 0.2802 2.5 
0.651582 0.27592 2.5 
0.657191 0.270455 2.5 
0.661912 0.265886 2.5 
0.667224 0.260709 2.5 
0.672242 0.255853 2.5 
