
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_L%s.dat', L) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
0.461538 -1.17482 2 
0.468554 -1.18395 2 
0.474916 -1.19231 2 
0.478765 -1.19732 2 
0.488294 -1.20986 2 
0.488941 -1.2107 2 
0.499119 -1.22408 2 
0.501672 -1.22747 2 
0.509272 -1.23746 2 
0.51505 -1.24513 2 
0.51939 -1.25084 2 
0.528428 -1.26284 2 
0.52947 -1.26421 2 
0.539549 -1.27759 2 
0.541806 -1.28062 2 
0.549611 -1.29097 2 
0.555184 -1.29843 2 
0.559642 -1.30435 2 
0.568562 -1.3163 2 
0.569636 -1.31773 2 
0.579631 -1.3311 2 
0.58194 -1.33422 2 
0.589611 -1.34448 2 
0.595318 -1.35218 2 
0.599561 -1.35786 2 
0.608696 -1.3702 2 
0.609474 -1.37124 2 
0.619397 -1.38462 2 
0.622074 -1.38826 2 
0.629303 -1.39799 2 
0.635451 -1.40636 2 
0.639173 -1.41137 2 
0.648829 -1.4245 2 
0.649016 -1.42475 2 
0.658878 -1.43813 2 
0.662207 -1.44269 2 
0.668707 -1.45151 2 
0.675585 -1.46092 2 
0.678511 -1.46488 2 
0.688297 -1.47826 2 
0.688963 -1.47918 2 
0.698088 -1.49164 2 

# Contour 1, label: 
-0.12709 -0.753217 2 
-0.118503 -0.742475 2 
-0.113712 -0.736542 2 
-0.107773 -0.729097 2 
-0.100334 -0.719866 2 
-0.0970334 -0.715719 2 
-0.0869565 -0.703189 2 
-0.0862831 -0.702341 2 
-0.0755615 -0.688963 2 
-0.0735786 -0.686513 2 
-0.0648431 -0.675585 2 
-0.0602007 -0.669838 2 
-0.0541144 -0.662207 2 
-0.0468227 -0.653162 2 
-0.0433748 -0.648829 2 
-0.0334448 -0.636485 2 
-0.0326243 -0.635451 2 
-0.0219006 -0.622074 2 
-0.0200669 -0.619809 2 
-0.0111835 -0.608696 2 
-0.00668896 -0.603133 2 
0.00668896 -0.603133 2 
0.0111835 -0.608696 2 
0.0200669 -0.619809 2 
0.0219006 -0.622074 2 
0.0326243 -0.635451 2 
0.0334448 -0.636485 2 
0.0433748 -0.648829 2 
0.0468227 -0.653162 2 
0.0541144 -0.662207 2 
0.0602007 -0.669838 2 
0.0648431 -0.675585 2 
0.0735786 -0.686513 2 
0.0755615 -0.688963 2 
0.0862831 -0.702341 2 
0.0869565 -0.703189 2 
0.0970334 -0.715719 2 
0.100334 -0.719866 2 
0.107773 -0.729097 2 
0.113712 -0.736542 2 
0.118503 -0.742475 2 
0.12709 -0.753217 2 
0.129222 -0.755853 2 
0.139942 -0.769231 2 
0.140468 -0.769893 2 
0.150692 -0.782609 2 
0.153846 -0.78657 2 
0.161432 -0.795987 2 
0.167224 -0.803246 2 
0.172163 -0.809365 2 
0.180602 -0.819922 2 
0.182883 -0.822742 2 
0.193601 -0.83612 2 
0.19398 -0.836597 2 
0.204351 -0.849498 2 
0.207358 -0.853274 2 
0.215092 -0.862876 2 
0.220736 -0.86995 2 
0.225822 -0.876254 2 
0.234114 -0.886626 2 
0.236544 -0.889632 2 
0.24726 -0.90301 2 
0.247492 -0.903301 2 
0.25801 -0.916388 2 
0.26087 -0.919978 2 
