
# Surface 0 of 1 surfaces

# Curve title: "'mu.dat' u 1:2:3 binary matrix"

# Contour 0, label:       27
1.48997 -0.723257 $27$ 
1.49319 -0.727425 $27$ 
1.5 -0.736243 $27$ 

# Contour 1, label: 
1.05914 -0.165552 $27$ 
1.0669 -0.175585 $27$ 
1.06856 -0.17775 $27$ 
1.07465 -0.185619 $27$ 
1.0786 -0.19074 $27$ 
1.0824 -0.195652 $27$ 
1.08863 -0.203726 $27$ 
1.09015 -0.205686 $27$ 
1.0979 -0.215719 $27$ 
1.09866 -0.216713 $27$ 
1.10565 -0.225753 $27$ 
1.1087 -0.229704 $27$ 
1.1134 -0.235786 $27$ 
1.11873 -0.242692 $27$ 
1.12115 -0.245819 $27$ 
1.12876 -0.255676 $27$ 
1.1289 -0.255853 $27$ 
1.13665 -0.265886 $27$ 
1.1388 -0.268668 $27$ 
1.14441 -0.27592 $27$ 
1.14883 -0.281657 $27$ 
1.15216 -0.285953 $27$ 
1.15886 -0.294643 $27$ 
1.1599 -0.295987 $27$ 
1.16766 -0.30602 $27$ 
1.1689 -0.307632 $27$ 
1.17541 -0.316054 $27$ 
1.17893 -0.320622 $27$ 
1.18316 -0.326087 $27$ 
1.18896 -0.333609 $27$ 
1.19091 -0.33612 $27$ 
1.19866 -0.346154 $27$ 
1.199 -0.346594 $27$ 
1.20641 -0.356187 $27$ 
1.20903 -0.359586 $27$ 
1.21416 -0.366221 $27$ 
1.21906 -0.372575 $27$ 
1.22191 -0.376254 $27$ 
1.2291 -0.38556 $27$ 
1.22966 -0.386288 $27$ 
1.23741 -0.396321 $27$ 
1.23913 -0.39855 $27$ 
1.24517 -0.406355 $27$ 
1.24916 -0.41154 $27$ 
1.25292 -0.416388 $27$ 
1.2592 -0.424526 $27$ 
1.26067 -0.426421 $27$ 
1.26842 -0.436455 $27$ 
1.26923 -0.437513 $27$ 
1.27617 -0.446488 $27$ 
1.27926 -0.450504 $27$ 
1.28392 -0.456522 $27$ 
1.2893 -0.463492 $27$ 
1.29167 -0.466555 $27$ 
1.29933 -0.476476 $27$ 
1.29942 -0.476589 $27$ 
1.30717 -0.486622 $27$ 
1.30936 -0.489468 $27$ 
1.31492 -0.496656 $27$ 
1.3194 -0.502457 $27$ 
1.32267 -0.506689 $27$ 
1.32943 -0.515443 $27$ 
1.33042 -0.516722 $27$ 
1.33817 -0.526756 $27$ 
1.33946 -0.528432 $27$ 
1.34593 -0.536789 $27$ 
1.3495 -0.541422 $27$ 
1.35368 -0.546823 $27$ 
1.35953 -0.554409 $27$ 
1.36143 -0.556856 $27$ 
1.36918 -0.56689 $27$ 
1.36957 -0.567395 $27$ 
1.37693 -0.576923 $27$ 
1.3796 -0.580386 $27$ 
1.38468 -0.586957 $27$ 
1.38963 -0.593375 $27$ 
1.39243 -0.59699 $27$ 
1.39967 -0.60636 $27$ 
1.40018 -0.607023 $27$ 
1.40793 -0.617057 $27$ 
1.4097 -0.61935 $27$ 
1.41569 -0.62709 $27$ 
1.41973 -0.63234 $27$ 
1.42344 -0.637124 $27$ 
1.42977 -0.645326 $27$ 
1.43118 -0.647157 $27$ 
1.43893 -0.657191 $27$ 
1.4398 -0.658314 $27$ 
1.44669 -0.667224 $27$ 
1.44983 -0.671304 $27$ 
1.45444 -0.677258 $27$ 
1.45987 -0.684292 $27$ 
1.46219 -0.687291 $27$ 
1.4699 -0.697277 $27$ 
1.46994 -0.697324 $27$ 
1.47769 -0.707358 $27$ 
1.47993 -0.710269 $27$ 
1.48544 -0.717391 $27$ 
1.48997 -0.723257 $27$ 

# Contour 2, label: 
0.632852 0.386288 $27$ 
0.637124 0.380742 $27$ 
0.640602 0.376254 $27$ 
0.647157 0.367757 $27$ 
0.64835 0.366221 $27$ 
0.6561 0.356187 $27$ 
0.657191 0.354769 $27$ 
0.663854 0.346154 $27$ 
0.667224 0.341778 $27$ 
0.671606 0.33612 $27$ 
0.677258 0.328791 $27$ 
0.679355 0.326087 $27$ 
0.687102 0.316054 $27$ 
0.687291 0.315807 $27$ 
0.694857 0.30602 $27$ 
0.697324 0.302814 $27$ 
0.702609 0.295987 $27$ 
0.707358 0.289825 $27$ 
0.710359 0.285953 $27$ 
0.717391 0.276841 $27$ 
0.718106 0.27592 $27$ 
0.725859 0.265886 $27$ 
0.727425 0.263851 $27$ 
0.733612 0.255853 $27$ 
0.737458 0.25086 $27$ 
0.741363 0.245819 $27$ 
0.747492 0.237874 $27$ 
0.749111 0.235786 $27$ 
0.75686 0.225753 $27$ 
0.757525 0.224888 $27$ 
0.764615 0.215719 $27$ 
0.767559 0.211896 $27$ 
0.772367 0.205686 $27$ 
0.777592 0.198908 $27$ 
0.780116 0.195652 $27$ 
0.787625 0.185924 $27$ 
0.787863 0.185619 $27$ 
0.795617 0.175585 $27$ 
0.797659 0.172932 $27$ 
0.80337 0.165552 $27$ 
0.807692 0.159943 $27$ 
0.81112 0.155518 $27$ 
0.817726 0.146957 $27$ 
0.818868 0.145485 $27$ 
0.826619 0.135452 $27$ 
0.827759 0.133969 $27$ 
0.834373 0.125418 $27$ 
0.837793 0.120978 $27$ 
0.842124 0.115385 $27$ 
0.847826 0.107991 $27$ 
0.849873 0.105351 $27$ 
0.85762 0.0953177 $27$ 
0.85786 0.0950066 $27$ 
0.865375 0.0852843 $27$ 
0.867893 0.0820139 $27$ 
0.873127 0.0752508 $27$ 
0.877926 0.0690253 $27$ 
0.880877 0.0652174 $27$ 
0.88796 0.0560406 $27$ 
0.888624 0.0551839 $27$ 
0.896377 0.0451505 $27$ 
0.897993 0.0430505 $27$ 
0.90413 0.0351171 $27$ 
0.908027 0.0300603 $27$ 
0.911881 0.0250836 $27$ 
0.91806 0.017074 $27$ 
0.91963 0.0150502 $27$ 
0.927379 0.00501672 $27$ 
0.928094 0.00408754 $27$ 
0.935133 -0.00501672 $27$ 
0.938127 -0.0089041 $27$ 
0.942885 -0.0150502 $27$ 
0.948161 -0.0218919 $27$ 
0.950634 -0.0250836 $27$ 
0.958194 -0.0348758 $27$ 
0.958381 -0.0351171 $27$ 
0.966135 -0.0451505 $27$ 
0.968227 -0.047868 $27$ 
0.973888 -0.0551839 $27$ 
0.978261 -0.0608572 $27$ 
0.981638 -0.0652174 $27$ 
0.988294 -0.0738427 $27$ 
0.989386 -0.0752508 $27$ 
0.997137 -0.0852843 $27$ 
0.998328 -0.0868312 $27$ 
1.00489 -0.0953177 $27$ 
1.00836 -0.099822 $27$ 
1.01264 -0.105351 $27$ 
1.01839 -0.112809 $27$ 
1.02039 -0.115385 $27$ 
1.02814 -0.125418 $27$ 
1.02843 -0.125794 $27$ 
1.03589 -0.135452 $27$ 
1.03846 -0.138786 $27$ 
1.04365 -0.145485 $27$ 
1.04849 -0.151775 $27$ 
1.0514 -0.155518 $27$ 
1.05853 -0.164759 $27$ 
1.05914 -0.165552 $27$ 

# Contour 3, label: 
0.205686 0.939241 $27$ 
0.206551 0.938127 $27$ 
0.214304 0.928094 $27$ 
0.215719 0.926251 $27$ 
0.222059 0.91806 $27$ 
0.225753 0.913259 $27$ 
0.22981 0.908027 $27$ 
0.235786 0.900273 $27$ 
0.237557 0.897993 $27$ 
0.245305 0.88796 $27$ 
0.245819 0.887289 $27$ 
0.253061 0.877926 $27$ 
0.255853 0.874295 $27$ 
0.260813 0.867893 $27$ 
0.265886 0.861307 $27$ 
0.268562 0.85786 $27$ 
0.27592 0.848325 $27$ 
0.276307 0.847826 $27$ 
0.284062 0.837793 $27$ 
0.285953 0.835332 $27$ 
0.291816 0.827759 $27$ 
0.295987 0.822342 $27$ 
0.299567 0.817726 $27$ 
0.30602 0.809357 $27$ 
0.307313 0.807692 $27$ 
0.315063 0.797659 $27$ 
0.316054 0.79637 $27$ 
0.322819 0.787625 $27$ 
0.326087 0.783377 $27$ 
0.33057 0.777592 $27$ 
0.33612 0.77039 $27$ 
0.338319 0.767559 $27$ 
0.346064 0.757525 $27$ 
0.346154 0.757408 $27$ 
0.353821 0.747492 $27$ 
0.356187 0.744413 $27$ 
0.361574 0.737458 $27$ 
0.366221 0.731424 $27$ 
0.369323 0.727425 $27$ 
0.376254 0.718441 $27$ 
0.37707 0.717391 $27$ 
0.384822 0.707358 $27$ 
0.386288 0.705451 $27$ 
0.392576 0.697324 $27$ 
0.396321 0.692459 $27$ 
0.400327 0.687291 $27$ 
0.406355 0.679474 $27$ 
0.408075 0.677258 $27$ 
0.415823 0.667224 $27$ 
0.416388 0.666489 $27$ 
0.423579 0.657191 $27$ 
0.426421 0.653495 $27$ 
0.431331 0.647157 $27$ 
0.436455 0.640507 $27$ 
0.43908 0.637124 $27$ 
0.446488 0.627525 $27$ 
0.446826 0.62709 $27$ 
0.45458 0.617057 $27$ 
0.456522 0.614532 $27$ 
0.462334 0.607023 $27$ 
0.466555 0.601542 $27$ 
0.470084 0.59699 $27$ 
0.476589 0.588557 $27$ 
0.477831 0.586957 $27$ 
0.485582 0.576923 $27$ 
0.486622 0.575569 $27$ 
0.493336 0.56689 $27$ 
0.496656 0.562578 $27$ 
