
# Surface 0 of 1 surfaces

# Curve title: "'fS.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
1.44494 -0.979766 2.5 
1.44632 -0.985722 2.5 
1.44936 -0.990134 2.5 
1.45662 -1.0005 2.5 
1.45669 -1.00058 2.5 
1.4659 -1.01087 2.5 
1.46706 -1.01217 2.5 
1.47518 -1.02124 2.5 
1.47742 -1.03099 2.5 
1.47785 -1.03161 2.5 
1.48685 -1.04197 2.5 
1.48779 -1.04303 2.5 
1.49614 -1.05234 2.5 
1.49816 -1.06117 2.5 

# Contour 1, label: 
1.02124 -0.367008 2.5 
1.02197 -0.36806 2.5 
1.03064 -0.378428 2.5 
1.03161 -0.37953 2.5 
1.03977 -0.388796 2.5 
1.04197 -0.39719 2.5 
1.04334 -0.399164 2.5 
1.05162 -0.409532 2.5 
1.05234 -0.41035 2.5 
1.06076 -0.4199 2.5 
1.06271 -0.427371 2.5 
1.06471 -0.430268 2.5 
1.0726 -0.440635 2.5 
1.07308 -0.441175 2.5 
1.08175 -0.451003 2.5 
1.08344 -0.457552 2.5 
1.08608 -0.461371 2.5 
1.09358 -0.471739 2.5 
1.09381 -0.472004 2.5 
1.10274 -0.482107 2.5 
1.10418 -0.483752 2.5 
1.11189 -0.492475 2.5 
1.11455 -0.502823 2.5 
1.12372 -0.513211 2.5 
1.12492 -0.514575 2.5 
1.13288 -0.523579 2.5 
1.13528 -0.533005 2.5 
1.13594 -0.533947 2.5 
1.14469 -0.544314 2.5 
1.14565 -0.545402 2.5 
1.15387 -0.554682 2.5 
1.15602 -0.563186 2.5 
1.15731 -0.56505 2.5 
1.16567 -0.575418 2.5 
1.16639 -0.576234 2.5 
1.17485 -0.585786 2.5 
1.17676 -0.593367 2.5 
1.17868 -0.596154 2.5 
1.18664 -0.606522 2.5 
1.18712 -0.60707 2.5 
1.19583 -0.61689 2.5 
1.19749 -0.623548 2.5 
1.20005 -0.627258 2.5 
1.20761 -0.637625 2.5 
1.20786 -0.63791 2.5 
1.21681 -0.647993 2.5 
1.21823 -0.649603 2.5 
1.22601 -0.658361 2.5 
1.22857 -0.668729 2.5 
1.23778 -0.679097 2.5 
1.23896 -0.680438 2.5 
1.24699 -0.689465 2.5 
1.24933 -0.699001 2.5 
1.24991 -0.699833 2.5 
1.25875 -0.710201 2.5 
1.2597 -0.711276 2.5 
1.26796 -0.720569 2.5 
1.27007 -0.729182 2.5 
1.27128 -0.730936 2.5 
1.27971 -0.741304 2.5 
1.28043 -0.742119 2.5 
1.28894 -0.751672 2.5 
1.2908 -0.759363 2.5 
1.29265 -0.76204 2.5 
1.30068 -0.772408 2.5 
1.30117 -0.772965 2.5 
1.30991 -0.782776 2.5 
1.31154 -0.789545 2.5 
1.31402 -0.793144 2.5 
1.32164 -0.803512 2.5 
1.32191 -0.803815 2.5 
1.33087 -0.81388 2.5 
1.33227 -0.819726 2.5 
1.33539 -0.824247 2.5 
1.34259 -0.834615 2.5 
1.34264 -0.834669 2.5 
1.35184 -0.844983 2.5 
1.35301 -0.846302 2.5 
1.36109 -0.855351 2.5 
1.36338 -0.864997 2.5 
1.36388 -0.865719 2.5 
1.3728 -0.876087 2.5 
1.37375 -0.877151 2.5 
1.38205 -0.886455 2.5 
1.38411 -0.895178 2.5 
1.38525 -0.896823 2.5 
1.39376 -0.907191 2.5 
1.39448 -0.908003 2.5 
1.40302 -0.917559 2.5 
1.40485 -0.92536 2.5 
1.40662 -0.927926 2.5 
1.41471 -0.938294 2.5 
1.41522 -0.938859 2.5 
1.42398 -0.948662 2.5 
1.42559 -0.955541 2.5 
1.42799 -0.95903 2.5 
1.43567 -0.969398 2.5 
1.43595 -0.969719 2.5 
1.44494 -0.979766 2.5 

# Contour 2, label: 
0.606522 0.24113 2.5 
0.613302 0.233278 2.5 
0.61647 0.22291 2.5 
0.61689 0.222418 2.5 
0.625408 0.212542 2.5 
0.627258 0.210378 2.5 
0.634347 0.202174 2.5 
0.637486 0.191806 2.5 
0.637625 0.191643 2.5 
0.646436 0.181438 2.5 
0.647993 0.179618 2.5 
0.655387 0.17107 2.5 
0.658361 0.161162 2.5 
0.65868 0.160702 2.5 
0.667459 0.150334 2.5 
0.668729 0.148852 2.5 
0.676422 0.139967 2.5 
0.679097 0.13098 2.5 
0.680056 0.129599 2.5 
0.688478 0.119231 2.5 
