
# Surface 0 of 1 surfaces

# Curve title: "'fM.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:        3
0.709933 -1.04197 3 
0.710201 -1.04333 3 
0.712029 -1.05234 3 
0.714121 -1.06271 3 
0.716201 -1.07308 3 
0.718268 -1.08344 3 
0.720323 -1.09381 3 
0.720569 -1.09506 3 
0.722419 -1.10418 3 
0.724511 -1.11455 3 
0.72659 -1.12492 3 
0.728658 -1.13528 3 
0.730713 -1.14565 3 
0.730936 -1.14678 3 
0.73281 -1.15602 3 
0.734901 -1.16639 3 
0.73698 -1.17676 3 
0.739047 -1.18712 3 
0.741103 -1.19749 3 
0.741304 -1.19851 3 
0.7432 -1.20786 3 
0.745291 -1.21823 3 
0.74737 -1.2286 3 
0.749437 -1.23896 3 
0.751493 -1.24933 3 
0.751672 -1.25024 3 
0.75359 -1.2597 3 
0.755681 -1.27007 3 
0.75776 -1.28043 3 
0.759827 -1.2908 3 
0.761883 -1.30117 3 
0.76204 -1.30197 3 
0.76398 -1.31154 3 
0.766071 -1.32191 3 
0.76815 -1.33227 3 
0.770217 -1.34264 3 
0.772273 -1.35301 3 
0.772408 -1.35369 3 
0.774371 -1.36338 3 
0.776461 -1.37375 3 
0.778539 -1.38411 3 
0.780607 -1.39448 3 
0.782663 -1.40485 3 
0.782776 -1.40542 3 
0.784761 -1.41522 3 
0.786851 -1.42559 3 
0.788929 -1.43595 3 
0.790997 -1.44632 3 
0.793053 -1.45669 3 
0.793144 -1.45715 3 
0.795151 -1.46706 3 
0.797241 -1.47742 3 
0.799319 -1.48779 3 
0.801387 -1.49816 3 

# Contour 1, label: 
0.539578 -0.191806 3 
0.541644 -0.202174 3 
0.543695 -0.212542 3 
0.544314 -0.21569 3 
0.545786 -0.22291 3 
0.547884 -0.233278 3 
0.549967 -0.243645 3 
0.552034 -0.254013 3 
0.554085 -0.264381 3 
0.554682 -0.267417 3 
0.556176 -0.274749 3 
0.558274 -0.285117 3 
0.560357 -0.295485 3 
0.562423 -0.305853 3 
0.564474 -0.316221 3 
0.56505 -0.319144 3 
0.566566 -0.326589 3 
0.568664 -0.336957 3 
0.570746 -0.347324 3 
0.572813 -0.357692 3 
0.574864 -0.36806 3 
0.575418 -0.370872 3 
0.576956 -0.378428 3 
0.579053 -0.388796 3 
0.581135 -0.399164 3 
0.583202 -0.409532 3 
0.585254 -0.4199 3 
0.585786 -0.422599 3 
0.587346 -0.430268 3 
0.589443 -0.440635 3 
0.591525 -0.451003 3 
0.593592 -0.461371 3 
0.595644 -0.471739 3 
0.596154 -0.474327 3 
0.597737 -0.482107 3 
0.599833 -0.492475 3 
0.601914 -0.502843 3 
0.603981 -0.513211 3 
0.606034 -0.523579 3 
0.606522 -0.526054 3 
0.608127 -0.533947 3 
0.610223 -0.544314 3 
0.612304 -0.554682 3 
