
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fM_M%d_max-rE.dat', M) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
-0.368174 -1.27007 2 
-0.369174 -1.28043 2 
-0.370176 -1.2908 2 
-0.371181 -1.30117 2 
-0.372189 -1.31154 2 
-0.373201 -1.32191 2 
-0.374215 -1.33227 2 
-0.375231 -1.34264 2 
-0.376251 -1.35301 2 
-0.377274 -1.36338 2 
-0.378299 -1.37375 2 
-0.378428 -1.37505 2 
-0.379302 -1.38411 2 
-0.380304 -1.39448 2 
-0.381309 -1.40485 2 
-0.382316 -1.41522 2 
-0.383327 -1.42559 2 
-0.38434 -1.43595 2 
-0.385356 -1.44632 2 
-0.386375 -1.45669 2 
-0.387397 -1.46706 2 
-0.388421 -1.47742 2 
-0.388796 -1.48122 2 
-0.38943 -1.48779 2 
-0.390432 -1.49816 2 

# Contour 1, label: 
-0.278019 -0.347324 2 
-0.279026 -0.357692 2 
-0.280037 -0.36806 2 
-0.281053 -0.378428 2 
-0.282072 -0.388796 2 
-0.283095 -0.399164 2 
-0.284121 -0.409532 2 
-0.285117 -0.419558 2 
-0.28515 -0.4199 2 
-0.286145 -0.430268 2 
-0.287144 -0.440635 2 
-0.288147 -0.451003 2 
-0.289154 -0.461371 2 
-0.290164 -0.471739 2 
-0.291178 -0.482107 2 
-0.292196 -0.492475 2 
-0.293218 -0.502843 2 
-0.294243 -0.513211 2 
-0.295272 -0.523579 2 
-0.295485 -0.52573 2 
-0.296275 -0.533947 2 
-0.297273 -0.544314 2 
-0.298275 -0.554682 2 
-0.299281 -0.56505 2 
-0.300291 -0.575418 2 
-0.301304 -0.585786 2 
-0.302321 -0.596154 2 
-0.303342 -0.606522 2 
-0.304366 -0.61689 2 
-0.305393 -0.627258 2 
-0.305853 -0.6319 2 
-0.306404 -0.637625 2 
-0.307402 -0.647993 2 
-0.308404 -0.658361 2 
-0.309409 -0.668729 2 
-0.310418 -0.679097 2 
-0.311431 -0.689465 2 
-0.312446 -0.699833 2 
-0.313466 -0.710201 2 
-0.314488 -0.720569 2 
-0.315515 -0.730936 2 
-0.316221 -0.738064 2 
-0.316533 -0.741304 2 
-0.317531 -0.751672 2 
-0.318532 -0.76204 2 
-0.319537 -0.772408 2 
-0.320545 -0.782776 2 
-0.321557 -0.793144 2 
-0.322572 -0.803512 2 
-0.32359 -0.81388 2 
-0.324612 -0.824247 2 
-0.325636 -0.834615 2 
-0.326589 -0.844222 2 
-0.326662 -0.844983 2 
-0.32766 -0.855351 2 
-0.32866 -0.865719 2 
-0.329665 -0.876087 2 
-0.330672 -0.886455 2 
-0.331683 -0.896823 2 
-0.332697 -0.907191 2 
-0.333715 -0.917559 2 
-0.334735 -0.927926 2 
-0.335759 -0.938294 2 
-0.336786 -0.948662 2 
-0.336957 -0.950391 2 
-0.337788 -0.95903 2 
-0.338789 -0.969398 2 
-0.339792 -0.979766 2 
-0.340799 -0.990134 2 
-0.34181 -1.0005 2 
-0.342823 -1.01087 2 
-0.343839 -1.02124 2 
-0.344859 -1.03161 2 
-0.345881 -1.04197 2 
-0.346907 -1.05234 2 
-0.347324 -1.05656 2 
-0.347917 -1.06271 2 
-0.348917 -1.07308 2 
-0.34992 -1.08344 2 
-0.350927 -1.09381 2 
-0.351936 -1.10418 2 
-0.352949 -1.11455 2 
-0.353964 -1.12492 2 
-0.354983 -1.13528 2 
-0.356004 -1.14565 2 
-0.357029 -1.15602 2 
-0.357692 -1.16273 2 
-0.358046 -1.16639 2 
-0.359045 -1.17676 2 
-0.360048 -1.18712 2 
-0.361054 -1.19749 2 
-0.362063 -1.20786 2 
-0.363074 -1.21823 2 
-0.364089 -1.2286 2 
