
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_M%d_max-rE.dat', M) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
1.44736 -1.07308 2 
1.45551 -1.08344 2 
1.45669 -1.08495 2 
1.46366 -1.09381 2 
1.46706 -1.09815 2 
1.47181 -1.10418 2 
1.47742 -1.11134 2 
1.47995 -1.11455 2 
1.48779 -1.12454 2 
1.48809 -1.12492 2 
1.49624 -1.13528 2 
1.49816 -1.13774 2 

# Contour 1, label: 
1.0005 -0.504315 2 
1.00751 -0.513211 2 
1.01087 -0.517512 2 
1.01565 -0.523579 2 
1.02124 -0.530708 2 
1.02379 -0.533947 2 
1.03161 -0.543904 2 
1.03193 -0.544314 2 
1.04008 -0.554682 2 
1.04197 -0.557101 2 
1.04823 -0.56505 2 
1.05234 -0.570297 2 
1.05638 -0.575418 2 
1.06271 -0.583493 2 
1.06452 -0.585786 2 
1.07266 -0.596154 2 
1.07308 -0.596689 2 
1.08081 -0.606522 2 
1.08344 -0.609886 2 
1.08896 -0.61689 2 
1.09381 -0.623082 2 
1.09711 -0.627258 2 
1.10418 -0.636278 2 
1.10525 -0.637625 2 
1.11339 -0.647993 2 
1.11455 -0.649474 2 
1.12154 -0.658361 2 
1.12492 -0.662671 2 
1.12969 -0.668729 2 
1.13528 -0.675867 2 
1.13783 -0.679097 2 
1.14565 -0.689063 2 
1.14597 -0.689465 2 
1.15412 -0.699833 2 
1.15602 -0.702259 2 
1.16227 -0.710201 2 
1.16639 -0.715456 2 
1.17042 -0.720569 2 
1.17676 -0.728652 2 
1.17856 -0.730936 2 
1.1867 -0.741304 2 
1.18712 -0.741848 2 
1.19485 -0.751672 2 
1.19749 -0.755045 2 
1.203 -0.76204 2 
1.20786 -0.768241 2 
1.21115 -0.772408 2 
1.21823 -0.781437 2 
1.21929 -0.782776 2 
1.22743 -0.793144 2 
1.2286 -0.794633 2 
1.23558 -0.803512 2 
1.23896 -0.80783 2 
1.24373 -0.81388 2 
1.24933 -0.821026 2 
1.25187 -0.824247 2 
1.2597 -0.834222 2 
1.26001 -0.834615 2 
1.26816 -0.844983 2 
1.27007 -0.847418 2 
1.27631 -0.855351 2 
1.28043 -0.860615 2 
1.28446 -0.865719 2 
1.2908 -0.873811 2 
1.2926 -0.876087 2 
1.30074 -0.886455 2 
1.30117 -0.887007 2 
1.30889 -0.896823 2 
1.31154 -0.900204 2 
1.31704 -0.907191 2 
1.32191 -0.9134 2 
1.32519 -0.917559 2 
1.33227 -0.926596 2 
1.33332 -0.927926 2 
1.34147 -0.938294 2 
1.34264 -0.939792 2 
1.34962 -0.948662 2 
1.35301 -0.952989 2 
1.35777 -0.95903 2 
1.36338 -0.966185 2 
1.36591 -0.969398 2 
1.37375 -0.979381 2 
1.37405 -0.979766 2 
1.3822 -0.990134 2 
1.38411 -0.992577 2 
1.39035 -1.0005 2 
1.39448 -1.00577 2 
1.3985 -1.01087 2 
1.40485 -1.01897 2 
1.40664 -1.02124 2 
1.41478 -1.03161 2 
1.41522 -1.03217 2 
1.42293 -1.04197 2 
1.42559 -1.04536 2 
1.43108 -1.05234 2 
1.43595 -1.05856 2 
1.43923 -1.06271 2 
1.44632 -1.07175 2 
1.44736 -1.07308 2 

# Contour 2, label: 
0.554682 0.0631233 2 
0.559499 0.0570234 2 
0.56505 0.0499271 2 
0.567639 0.0466555 2 
0.575418 0.0367321 2 
0.57577 0.0362876 2 
0.583926 0.0259197 2 
0.585786 0.0235348 2 
0.59208 0.0155518 2 
0.596154 0.0103382 2 
0.600226 0.00518395 2 
0.606522 -0.00285754 2 
0.608363 -0.00518395 2 
0.616499 -0.0155518 2 
0.61689 -0.016053 2 
0.624658 -0.0259197 2 
0.627258 -0.0292504 2 
0.632809 -0.0362876 2 
0.637625 -0.0424468 2 
0.640952 -0.0466555 2 
0.647993 -0.0556422 2 
0.649087 -0.0570234 2 
0.657233 -0.0673913 2 
0.658361 -0.0688386 2 
0.665389 -0.0777592 2 
0.668729 -0.0820356 2 
0.673537 -0.0881271 2 
0.679097 -0.0952315 2 
0.681677 -0.098495 2 
0.689465 -0.108427 2 
0.68981 -0.108863 2 
0.697965 -0.119231 2 
0.699833 -0.121624 2 
0.706118 -0.129599 2 
0.710201 -0.134821 2 
0.714264 -0.139967 2 
0.720569 -0.148016 2 
0.722402 -0.150334 2 
0.730539 -0.160702 2 
0.730936 -0.161212 2 
0.738697 -0.17107 2 
0.741304 -0.174409 2 
0.746847 -0.181438 2 
0.751672 -0.187606 2 
0.75499 -0.191806 2 
0.76204 -0.200801 2 
0.763126 -0.202174 2 
0.771273 -0.212542 2 
0.772408 -0.213997 2 
0.779427 -0.22291 2 
0.782776 -0.227194 2 
0.787575 -0.233278 2 
0.793144 -0.24039 2 
0.795716 -0.243645 2 
0.803512 -0.253586 2 
0.80385 -0.254013 2 
0.812005 -0.264381 2 
0.81388 -0.266783 2 
0.820157 -0.274749 2 
0.824247 -0.279979 2 
0.828303 -0.285117 2 
0.834615 -0.293175 2 
0.836441 -0.295485 2 
0.844579 -0.305853 2 
0.844983 -0.306371 2 
0.852736 -0.316221 2 
0.855351 -0.319568 2 
0.860886 -0.326589 2 
0.865719 -0.332764 2 
0.869029 -0.336957 2 
0.876087 -0.34596 2 
0.877166 -0.347324 2 
0.885312 -0.357692 2 
0.886455 -0.359156 2 
0.893466 -0.36806 2 
0.896823 -0.372353 2 
0.901614 -0.378428 2 
0.907191 -0.385549 2 
0.909755 -0.388796 2 
0.917559 -0.398745 2 
0.91789 -0.399164 2 
0.926044 -0.409532 2 
0.927926 -0.411942 2 
0.934196 -0.4199 2 
0.938294 -0.425138 2 
0.942341 -0.430268 2 
0.948662 -0.438334 2 
0.950481 -0.440635 2 
0.958619 -0.451003 2 
0.95903 -0.45153 2 
0.966775 -0.461371 2 
0.969398 -0.464727 2 
0.974925 -0.471739 2 
0.979766 -0.477923 2 
0.983068 -0.482107 2 
0.990134 -0.491119 2 
