
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_Rc%2.2f.dat', Rc) u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
-1.21823 -1.44473 2.5 
-1.21911 -1.44632 2.5 
-1.22485 -1.45669 2.5 
-1.2286 -1.46348 2.5 
-1.23058 -1.46706 2.5 
-1.23631 -1.47742 2.5 
-1.23896 -1.48224 2.5 
-1.24205 -1.48779 2.5 
-1.24777 -1.49816 2.5 

# Contour 1, label: 
-0.855351 -0.788323 2.5 
-0.858031 -0.793144 2.5 
-0.86376 -0.803512 2.5 
-0.865719 -0.807077 2.5 
-0.869497 -0.81388 2.5 
-0.875218 -0.824247 2.5 
-0.876087 -0.825831 2.5 
-0.880961 -0.834615 2.5 
-0.886455 -0.844584 2.5 
-0.886677 -0.844983 2.5 
-0.892424 -0.855351 2.5 
-0.896823 -0.86334 2.5 
-0.898146 -0.865719 2.5 
-0.903885 -0.876087 2.5 
-0.907191 -0.882095 2.5 
-0.909614 -0.886455 2.5 
-0.915345 -0.896823 2.5 
-0.917559 -0.90085 2.5 
-0.92108 -0.907191 2.5 
-0.926803 -0.917559 2.5 
-0.927926 -0.919604 2.5 
-0.932544 -0.927926 2.5 
-0.93826 -0.938294 2.5 
-0.938294 -0.938356 2.5 
-0.944007 -0.948662 2.5 
-0.948662 -0.957112 2.5 
-0.949729 -0.95903 2.5 
-0.955469 -0.969398 2.5 
-0.95903 -0.975868 2.5 
-0.961197 -0.979766 2.5 
-0.966929 -0.990134 2.5 
-0.969398 -0.994622 2.5 
-0.972663 -1.0005 2.5 
-0.978388 -1.01087 2.5 
-0.979766 -1.01338 2.5 
-0.984128 -1.02124 2.5 
-0.989846 -1.03161 2.5 
-0.990134 -1.03213 2.5 
-0.995591 -1.04197 2.5 
-1.0005 -1.05088 2.5 
-1.00131 -1.05234 2.5 
-1.00705 -1.06271 2.5 
-1.01087 -1.06964 2.5 
-1.01278 -1.07308 2.5 
-1.01851 -1.08344 2.5 
-1.02124 -1.08839 2.5 
-1.02425 -1.09381 2.5 
-1.02997 -1.10418 2.5 
-1.03161 -1.10715 2.5 
-1.03571 -1.11455 2.5 
-1.04143 -1.12492 2.5 
-1.04197 -1.1259 2.5 
-1.04718 -1.13528 2.5 
-1.05234 -1.14466 2.5 
-1.05289 -1.14565 2.5 
-1.05864 -1.15602 2.5 
-1.06271 -1.16341 2.5 
-1.06436 -1.16639 2.5 
-1.0701 -1.17676 2.5 
-1.07308 -1.18217 2.5 
-1.07583 -1.18712 2.5 
-1.08156 -1.19749 2.5 
-1.08344 -1.20092 2.5 
-1.0873 -1.20786 2.5 
-1.09302 -1.21823 2.5 
-1.09381 -1.21967 2.5 
-1.09876 -1.2286 2.5 
-1.10418 -1.23843 2.5 
-1.10448 -1.23896 2.5 
-1.11022 -1.24933 2.5 
-1.11455 -1.25718 2.5 
-1.11595 -1.2597 2.5 
-1.12168 -1.27007 2.5 
-1.12492 -1.27594 2.5 
-1.12741 -1.28043 2.5 
-1.13314 -1.2908 2.5 
-1.13528 -1.29469 2.5 
-1.13888 -1.30117 2.5 
-1.1446 -1.31154 2.5 
-1.14565 -1.31345 2.5 
-1.15034 -1.32191 2.5 
-1.15602 -1.3322 2.5 
-1.15606 -1.33227 2.5 
-1.16181 -1.34264 2.5 
-1.16639 -1.35096 2.5 
-1.16753 -1.35301 2.5 
-1.17327 -1.36338 2.5 
-1.17676 -1.36971 2.5 
-1.179 -1.37375 2.5 
-1.18473 -1.38411 2.5 
-1.18712 -1.38847 2.5 
-1.19046 -1.39448 2.5 
-1.19619 -1.40485 2.5 
-1.19749 -1.40722 2.5 
-1.20193 -1.41522 2.5 
-1.20765 -1.42559 2.5 
-1.20786 -1.42597 2.5 
-1.21339 -1.43595 2.5 
-1.21823 -1.44473 2.5 

# Contour 2, label: 
-0.492475 -0.131916 2.5 
-0.496951 -0.139967 2.5 
-0.50266 -0.150334 2.5 
-0.502843 -0.150668 2.5 
-0.508414 -0.160702 2.5 
-0.513211 -0.169424 2.5 
-0.514129 -0.17107 2.5 
-0.519875 -0.181438 2.5 
-0.523579 -0.18818 2.5 
-0.5256 -0.191806 2.5 
-0.531334 -0.202174 2.5 
-0.533947 -0.206935 2.5 
-0.537067 -0.212542 2.5 
-0.542791 -0.22291 2.5 
-0.544314 -0.225688 2.5 
-0.548533 -0.233278 2.5 
-0.554246 -0.243645 2.5 
-0.554682 -0.244441 2.5 
-0.559997 -0.254013 2.5 
-0.56505 -0.263196 2.5 
-0.565711 -0.264381 2.5 
-0.571459 -0.274749 2.5 
-0.575418 -0.281952 2.5 
-0.577182 -0.285117 2.5 
-0.582919 -0.295485 2.5 
-0.585786 -0.300707 2.5 
-0.58865 -0.305853 2.5 
-0.594377 -0.316221 2.5 
-0.596154 -0.319461 2.5 
