# VP05   2012-04-25_16-25-46
# Elapsed time of measurement: 429 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 25.54, 10.37, -75.47, 0.07, 0.07


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 13, 0,  1, 1,   29.99,    7.00,  -75.22,   34.62,   41.60,  -10.59,    0.09,    4.99
 46, 0,  2, 1,   29.34,    8.11,  -75.26,   28.49,   34.80,   -8.26,    0.04,    5.87
 50, 0,  3, 1,   29.44,    8.43,  -75.47,   18.02,   21.80,   -7.78,    0.04,    3.01
 42, 0,  4, 1,   27.89,    8.33,  -75.60,    9.29,   11.40,   -3.79,    0.19,    4.09
 14, 0,  5, 1,   26.60,    7.54,  -75.63,    5.59,    5.70,   -0.84,    0.05,    3.76
 40, 0,  6, 1,   27.27,    8.78,  -75.65,    3.63,    0.00,   -2.27,    0.04,    5.93
 31, 0,  7, 1,   24.86,    6.05,  -75.54,   -5.73,  -11.40,    3.33,    0.06,    3.81
 66, 0,  8, 1,   25.88,    5.50,  -75.70,  -13.30,  -16.80,    1.01,    0.02,    3.80
 62, 0,  9, 1,   26.40,    3.93,  -75.67,  -23.23,  -31.20,    0.99,    0.03,    6.06
 65, 0, 10, 1,   25.73,    3.59,  -75.50,  -27.79,  -38.90,    2.37,    0.02,    3.76
 35, 0, 11, 1,   24.44,    2.86,  -75.21,  -29.85,  -42.20,    5.11,    0.03,    5.56
 11, 0,  1, 1,   30.85,    7.89,  -75.24,   35.99,   41.60,  -11.08,    0.03,    3.79
 30, 0,  2, 1,   28.53,    8.55,  -75.27,   30.62,   34.80,   -6.45,    0.51,    4.22
 23, 0,  3, 1,   28.03,    7.48,  -75.46,   19.01,   21.80,   -5.80,    0.05,    3.51
 64, 0,  4, 1,   28.80,    7.51,  -75.69,   10.58,   11.40,   -6.29,    0.12,    2.31
 21, 0,  5, 1,   26.37,    8.51,  -75.52,    7.18,    5.70,   -0.80,    0.09,    4.77
 63, 0,  6, 1,   28.22,    6.39,  -75.82,    0.21,    0.00,   -4.70,    0.07,    6.07
 48, 0,  7, 1,   26.71,    7.83,  -75.71,   -7.37,  -11.40,   -1.83,    0.03,    3.84
 59, 0,  8, 1,   26.37,    6.04,  -75.75,  -14.02,  -16.80,   -0.28,    0.05,   10.27
 22, 0,  9, 1,   24.49,    4.02,  -75.27,  -22.00,  -31.20,    5.23,    0.10,    6.02
  6, 0, 10, 1,   25.27,    4.08,  -75.48,  -28.37,  -38.90,    4.10,    0.04,    4.18
 56, 0, 11, 1,   24.98,    3.92,  -75.28,  -31.91,  -42.20,    3.68,    0.02,    3.85
 32, 1,  1, 1,   30.52,    5.82,  -74.92,   45.08,   41.60,  -14.37,    0.18,    3.15
 39, 1,  2, 1,   30.90,    7.32,  -75.34,   31.64,   34.80,  -11.57,    0.13,    6.92
  5, 1,  3, 1,   29.08,    8.75,  -75.61,   18.62,   21.80,   -6.25,    0.33,    4.44
 16, 1,  4, 1,   26.52,    8.10,  -75.37,   12.93,   11.40,   -1.35,    0.23,    3.82
 28, 1,  5, 1,   28.13,    8.19,  -75.75,    6.43,    5.70,   -4.45,    0.21,    5.89
 52, 1,  6, 1,   26.92,    6.94,  -75.70,    0.28,    0.00,   -1.93,    0.25,    3.80
 10, 1,  7, 1,   26.67,    6.81,  -75.82,  -12.59,  -11.40,   -0.12,    0.34,    3.42
 25, 1,  8, 1,   24.74,    4.47,  -75.51,  -16.76,  -16.80,    3.81,    0.05,    3.23
 24, 1,  9, 1,   23.13,    1.43,  -74.71,  -31.98,  -31.20,    9.45,    0.36,    3.79
 15, 1, 10, 1,   24.84,    1.78,  -74.79,  -39.47,  -38.90,    6.70,    0.20,    4.88
 53, 1, 11, 1,   24.47,    0.95,  -74.80,  -42.97,  -42.20,    6.62,    0.26,    5.41
 51, 1,  1, 1,   32.79,    5.06,  -75.02,   43.81,   41.60,  -17.49,    0.31,    4.10
  2, 1,  2, 1,   30.28,    8.26,  -75.40,   34.48,   34.80,   -9.85,    0.12,    2.95
  7, 1,  3, 1,   28.80,    9.20,  -75.50,   22.48,   21.80,   -5.95,    0.19,    7.85
 36, 1,  4, 1,   27.49,    7.65,  -75.45,   14.05,   11.40,   -4.03,    0.17,    5.12
 12, 1,  5, 1,   26.73,    8.03,  -75.86,    5.12,    5.70,   -1.29,    0.18,    5.27
 57, 1,  6, 1,   26.57,    6.88,  -75.69,   -4.05,    0.00,   -0.93,    0.23,    7.14
 61, 1,  7, 1,   25.91,    5.14,  -75.75,  -10.77,  -11.40,    0.98,    0.17,    4.03
  3, 1,  8, 1,   24.98,    5.53,  -75.32,  -17.73,  -16.80,    4.43,    0.22,    3.66
 55, 1,  9, 1,   25.50,    2.70,  -75.25,  -31.56,  -31.20,    3.77,    0.20,    3.85
