# VP11   2012-05-03_11-36-01
# Elapsed time of measurement: 315 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 27.21, 16.26, -75.23, -4.43, 0.06


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 27, 0,  1, 1,   33.36,   14.03,  -74.93,   33.52,   41.60,  -10.09,    0.19,    3.95
 22, 0,  2, 1,   32.58,   14.15,  -75.04,   28.67,   34.80,   -8.35,    0.12,    3.25
 16, 0,  3, 1,   31.39,   14.61,  -75.20,   20.30,   21.80,   -5.68,    0.14,    6.68
 24, 0,  4, 1,   31.26,   15.33,  -75.28,   11.33,   11.40,   -5.12,    0.07,    5.78
 55, 0,  5, 1,   29.25,   15.01,  -75.38,    3.34,    5.70,    0.06,    0.09,    5.27
 57, 0,  6, 1,   28.84,   14.51,  -75.47,   -2.48,    0.00,    0.88,    0.11,    3.27
 37, 0,  7, 1,   27.88,   14.50,  -75.53,  -11.63,  -11.40,    2.39,    0.06,    3.28
 21, 0,  8, 1,   28.12,   13.45,  -75.61,  -16.49,  -16.80,    1.65,    0.27,    7.27
 38, 0,  9, 1,   28.23,   13.04,  -75.63,  -29.05,  -31.20,    1.56,    0.45,    3.04
  4, 0, 10, 1,   27.80,   14.25,  -75.58,  -30.41,  -38.90,    0.02,    0.09,    3.00
 14, 0, 11, 1,   29.07,   14.06,  -75.66,  -31.49,  -42.20,   -2.07,    0.19,    3.43
 41, 0,  1, 1,   32.69,   12.34,  -75.08,   32.73,   41.60,   -9.57,    0.04,    4.27
  5, 0,  2, 1,   31.69,   15.85,  -74.98,   30.99,   34.80,   -5.92,    0.18,    3.02
  8, 0,  3, 1,   30.16,   15.91,  -75.12,   20.12,   21.80,   -3.04,    0.65,    3.36
 36, 0,  4, 1,   30.58,   15.92,  -75.28,    9.34,   11.40,   -3.05,    0.12,    3.74
 56, 0,  5, 1,   29.24,   14.64,  -75.42,    2.90,    5.70,   -0.02,    0.12,    2.01
 65, 0,  6, 1,   30.03,   15.32,  -75.47,   -1.67,    0.00,   -1.36,    0.14,    5.65
 32, 0,  7, 1,   29.05,   14.77,  -75.60,  -12.27,  -11.40,   -0.56,    0.09,    6.52
 40, 0,  8, 1,   28.69,   12.20,  -75.70,  -16.21,  -16.80,    1.60,    0.14,    7.41
  7, 0,  9, 1,   27.38,   12.36,  -75.59,  -29.40,  -31.20,    2.62,    0.21,    6.31
  1, 0, 10, 1,   27.98,   14.80,  -75.49,  -33.01,  -38.90,   -1.69,    0.14,    4.75
 66, 0, 11, 1,   29.54,   12.32,  -75.63,  -39.25,  -42.20,   -0.42,    0.08,    5.84
 33, 1,  1, 1,   34.02,   14.34,  -74.89,   41.62,   41.60,  -10.70,    0.20,    4.59
 63, 1,  2, 1,   33.71,   14.02,  -74.89,   37.16,   34.80,   -9.68,    0.15,    4.24
 28, 1,  3, 1,   31.53,   15.14,  -75.07,   21.09,   21.80,   -5.21,    0.22,    3.28
 49, 1,  4, 1,   31.28,   15.23,  -75.17,   14.18,   11.40,   -4.06,    0.36,    4.78
 29, 1,  5, 1,   29.11,   16.15,  -75.33,    6.13,    5.70,   -0.43,    0.25,    3.45
 53, 1,  6, 1,   29.99,   15.08,  -75.38,    3.60,    0.00,   -1.88,    0.23,    3.79
  6, 1,  7, 1,   27.26,   15.84,  -75.34,  -12.29,  -11.40,    2.06,    0.32,    2.55
 30, 1,  8, 1,   28.28,   14.39,  -75.59,  -17.79,  -16.80,    1.04,    0.22,    3.84
 45, 1,  9, 1,   29.23,   11.49,  -75.86,  -31.52,  -31.20,    1.02,    0.24,    3.81
 52, 1, 10, 1,   28.20,   11.64,  -75.73,  -36.19,  -38.90,    2.21,    0.26,    3.19
 13, 1, 11, 1,   27.84,   13.22,  -75.53,  -41.98,  -42.20,   -0.44,    0.11,    3.38
 46, 1,  1, 1,   34.91,   12.17,  -74.88,   44.09,   41.60,  -14.07,    0.24,    4.22
 44, 1,  2, 1,   33.30,   12.00,  -75.01,   39.09,   34.80,  -11.42,    0.14,    2.16
  2, 1,  3, 1,   31.23,   17.26,  -74.86,   25.31,   21.80,   -3.89,    0.29,    3.44
 59, 1,  4, 1,   30.99,   14.09,  -75.45,   13.26,   11.40,   -4.07,    0.21,    4.13
 19, 1,  5, 1,   31.57,   14.26,  -75.37,   11.07,    5.70,   -6.19,    0.26,    4.88
  3, 1,  6, 1,   28.21,   16.87,  -75.18,    1.27,    0.00,    1.12,    0.22,    2.52
 20, 1,  7, 1,   28.70,   13.85,  -75.66,  -11.62,  -11.40,    0.02,    0.12,    3.24
 64, 1,  8, 1,   29.06,   14.11,  -75.53,  -18.88,  -16.80,    0.88,    0.44,    4.04
 17, 1,  9, 1,   28.52,   12.71,  -75.68,  -31.29,  -31.20,    0.67,    0.42,    3.92
 25, 1, 10, 1,   29.40,   13.81,  -75.57,  -41.03,  -38.90,   -3.03,    0.23,    6.18
 15, 1, 11, 1,   28.62,   13.59,  -75.52,  -41.31,  -42.20,   -2.06,    0.15,    3.22
 60, 2,  1, 1,   34.50,   12.45,  -75.05,   42.41,   41.60,  -13.00,    0.22,    5.32
 58, 2,  2, 1,   34.37,   12.54,  -74.91,   38.39,   34.80,  -12.60,    0.89,    2.44
 61, 2,  3, 1,   32.05,   14.88,  -74.98,   22.71,   21.80,   -5.46,    0.18,    4.04
 42, 2,  4, 1,   29.61,   13.52,  -75.37,   10.55,   11.40,   -1.31,    0.30,    3.87
 43, 2,  5, 1,   29.30,   14.43,  -75.50,    5.03,    5.70,   -0.34,    0.48,    2.86
 31, 2,  6, 1,   30.36,   15.61,  -75.13,    0.08,    0.00,   -2.75,    0.14,    3.16
 26, 2,  7, 1,   28.96,   15.26,  -75.43,  -11.05,  -11.40,   -1.12,    0.53,    3.96
  9, 2,  8, 1,   27.41,   13.48,  -75.78,  -17.99,  -16.80,    1.90,    0.37,    4.00
 18, 2,  9, 1,   29.71,   12.91,  -75.64,  -28.06,  -31.20,   -1.76,    0.57,    6.05
 47, 2, 10, 1,   29.33,   11.12,  -75.45,  -40.45,  -38.90,    0.94,    0.38,    4.86
 10, 2, 11, 1,   28.30,   12.25,  -75.55,  -42.21,  -42.20,   -0.16,    0.72,    3.91
 39, 2,  1, 1,   34.23,   12.94,  -74.85,   41.88,   41.60,  -11.67,    0.76,    4.79
 54, 2,  2, 1,   32.88,   13.73,  -75.04,   33.78,   34.80,   -8.84,    0.23,    3.28
 62, 2,  3, 1,   31.83,   14.43,  -75.08,   21.11,   21.80,   -5.28,    0.31,    2.93
 11, 2,  4, 1,   29.78,   15.65,  -75.33,   11.61,   11.40,   -2.53,    0.35,    4.48
 12, 2,  5, 1,   28.73,   15.40,  -75.65,    4.99,    5.70,   -0.54,    0.27,    2.80
 35, 2,  6, 1,   29.44,   15.40,  -75.46,    0.30,    0.00,   -1.03,    0.12,    2.38
 51, 2,  7, 1,   28.90,   14.04,  -75.73,   -7.77,  -11.40,   -0.06,    0.75,    2.56
 34, 2,  8, 1,   27.92,   13.91,  -75.57,  -17.29,  -16.80,    2.21,    0.32,    4.40
 50, 2,  9, 1,   28.83,   12.53,  -75.68,  -29.40,  -31.20,    0.80,    0.49,    5.07
 48, 2, 10, 1,   28.99,   11.26,  -75.71,  -40.40,  -38.90,    1.00,    0.80,    3.69
 23, 2, 11, 1,   29.16,   13.11,  -75.19,  -42.80,  -42.20,   -1.64,    0.65,    4.61
