# Data file generated by gp_save_table.m
# pairwise differences of ratings vs WFS
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	"VDA"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	-0.576132	-0.769547	-0.348765	-0.761317	-0.417695	0.000002	0.000001	1.000000	0.957500	-0.022634	-0.847737	-0.777778	-0.469136	-0.561728	-0.240741	-0.590535	-0.897119	-0.804527	-0.417695	-0.279835	-0.997942	-0.442387	-0.590535	-0.761317	-0.199588	-0.069959	-0.664609	-0.594650	-0.543210	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.348765	0.183128	0.515432	0.185185	0.500000	0.000004	0.999999	0.000002	0.925000	0.670782	0.144033	0.185185	0.530864	0.438272	0.757202	0.409465	0.102881	0.181070	0.582305	0.582305	-0.002058	0.500000	0.244856	0.090535	0.390947	0.275720	0.240741	0.306584	0.417695	
"WFS"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_wfs_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.014565	0.507282	0.507282	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"NFC-HOA 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_nfchoa_corrected.wav	-0.544239	-0.765432	-0.389918	-0.759259	-0.417695	0.000002	0.000001	1.000000	0.965000	-0.018519	-0.621399	-0.771605	-0.469136	-0.561728	-0.240741	-0.572016	-0.897119	-0.804527	-0.417695	-0.362140	-0.960905	-0.425926	-0.742798	-0.890947	-0.164609	-0.209877	-0.759259	-0.526749	-0.469136	
"Stereo"	brs/brs_posx0.00_posy0.00_stereo_corrected.wav	-0.202675	-0.327160	-0.030864	-0.318930	-0.057613	0.000322	0.000161	0.999869	0.723750	-0.004115	-0.057613	-0.662551	-0.199588	-0.232510	-0.072016	-0.267490	-0.335391	-0.318930	0.119342	-0.002058	-0.205761	-0.156379	-0.532922	-0.444444	-0.129630	0.127572	-0.205761	0.034979	-0.341564	
"LWFS-SBL 1024 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	-0.527778	-0.769547	-0.351852	-0.732510	-0.390947	0.000006	0.000003	0.999998	0.943750	0.010288	-0.814815	-0.732510	-0.469136	-0.561728	-0.240741	-0.432099	-0.897119	-0.806584	-0.415638	-0.312757	-0.975309	-0.390947	-0.666667	-0.901235	-0.172840	-0.002058	-0.508230	-0.658436	-0.547325	
"LWFS-SBL 512 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	-0.515432	-0.795267	-0.353909	-0.771605	-0.376543	0.000002	0.000001	1.000000	0.952500	-0.026749	-0.827160	-0.771605	-0.469136	-0.561728	-0.240741	-0.574074	-0.897119	-0.818930	-0.376543	-0.399177	-0.950617	-0.454733	-0.695473	-0.860082	-0.216049	-0.160494	-0.713992	-0.380658	-0.331276	
"LWFS-SBL 256 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	-0.503086	-0.694444	-0.326132	-0.648148	-0.355967	0.000002	0.000001	1.000000	0.938750	-0.018519	-0.825103	-0.368313	-0.469136	-0.561728	-0.240741	-0.582305	-0.862140	-0.740741	-0.296296	-0.355967	-0.991770	-0.500000	-0.516461	-0.814815	-0.197531	-0.162551	-0.423868	-0.648148	-0.506173	
"LWFS-SBL 128 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	-0.162551	-0.309671	-0.102881	-0.259259	-0.137860	0.000395	0.000197	0.999869	0.723750	0.000000	-0.205761	-0.259259	0.106996	-0.411523	0.028807	-0.146091	-0.251029	-0.148148	-0.148148	0.164609	-0.477366	-0.154321	-0.442387	-0.360082	-0.067901	-0.170782	-0.137860	-0.228395	-0.561728	
"LWFS-SBL 64 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.115226	0.063786	0.167695	0.072016	0.154321	0.001690	0.999284	0.000845	0.628750	0.072016	0.106996	0.113169	0.181070	0.141975	0.259259	0.181070	-0.004115	0.002058	0.154321	0.135802	-0.004115	0.296296	0.131687	0.055556	0.109053	0.234568	0.094650	0.117284	-0.565844	
