# Data file generated by gp_save_table.m
# pairwise differences of ratings vs WFS
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	"VDA"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	-0.039095	-0.346708	0.004115	-0.333333	0.000000	0.026642	0.013321	0.989258	0.735000	0.008230	0.432099	-0.333333	-0.022634	0.000000	0.000000	-0.047325	-0.419753	-0.360082	-0.434156	-0.248971	-0.030864	-0.271605	-0.411523	0.094650	-0.100823	-0.012346	0.057613	-0.567901	0.008230	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.813786	0.610082	0.972222	0.639918	0.967078	0.000002	1.000000	0.000001	1.000000	0.967078	0.942387	0.364198	0.977366	1.000000	1.000000	0.944444	0.580247	0.639918	0.565844	0.740741	0.942387	0.709877	0.450617	0.818930	0.796296	0.987654	0.808642	0.170782	0.985597	
"WFS"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_wfs_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.014565	0.507282	0.507282	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"NFC-HOA 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_nfchoa_corrected.wav	-0.049383	-0.332305	0.007202	-0.320988	0.000000	0.015312	0.007656	0.993960	0.718750	0.014403	0.390947	-0.320988	-0.022634	0.000000	0.000000	-0.039095	-0.419753	-0.343621	-0.403292	-0.259259	-0.045267	-0.290123	-0.417695	0.051440	-0.053498	0.034979	-0.158436	-0.652263	0.032922	
"Stereo"	brs/brs_posx0.00_posy0.00_stereo_corrected.wav	-0.056584	-0.252058	0.011317	-0.246914	0.000000	0.132727	0.066363	0.938454	0.580000	0.000000	-0.043210	-0.257202	0.030864	0.000000	0.000000	0.022634	-0.224280	-0.277778	-0.362140	-0.187243	0.615226	-0.246914	-0.279835	-0.072016	-0.069959	0.000000	0.469136	-0.695473	0.195473	
"LWFS-SBL 1024 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	-0.058642	-0.324074	0.000000	-0.288066	0.000000	0.003654	0.001827	0.998644	0.745000	0.006173	0.314815	-0.288066	-0.022634	0.000000	0.000000	-0.034979	-0.397119	-0.360082	-0.434156	-0.259259	-0.045267	-0.261317	-0.378601	-0.154321	-0.067901	0.028807	-0.049383	-0.697531	0.004115	
"LWFS-SBL 512 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	-0.059671	-0.312757	0.000000	-0.302469	0.000000	0.017181	0.008591	0.993192	0.670000	0.012346	0.234568	-0.323045	-0.022634	0.000000	0.000000	-0.055556	-0.395062	-0.325103	-0.434156	-0.259259	-0.018519	-0.216049	-0.370370	-0.121399	-0.063786	0.288066	0.137860	-0.302469	-0.006173	
"LWFS-SBL 256 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	-0.033951	-0.291152	0.000000	-0.263374	0.000000	0.004860	0.002430	0.997890	0.702500	0.008230	0.057613	-0.331276	-0.022634	0.000000	0.000000	-0.045267	-0.395062	-0.318930	-0.425926	-0.259259	-0.022634	-0.263374	-0.197531	-0.018519	-0.012346	0.273663	-0.109053	-0.596708	0.000000	
"LWFS-SBL 128 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	-0.014403	-0.220165	0.024691	-0.213992	0.016461	0.164957	0.082479	0.928547	0.575000	0.008230	0.170782	-0.213992	-0.022634	0.000000	0.032922	0.016461	-0.119342	-0.100823	-0.360082	-0.228395	-0.006173	-0.226337	-0.415638	0.032922	-0.045267	-0.006173	0.397119	-0.462963	0.111111	
"LWFS-SBL 64 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.114198	0.014403	0.304527	0.020576	0.298354	0.001017	0.999646	0.000508	0.756250	0.008230	0.411523	0.279835	0.104938	0.086420	0.298354	0.020576	0.193416	0.104938	-0.168724	0.061728	0.586420	0.123457	0.008230	0.265432	0.310700	0.987654	0.615226	-0.141975	0.000000	
