# Data file generated by gp_save_table.m
# pairwise differences of ratings vs WFS
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	"VDA"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	-0.565844	-0.769547	-0.306584	-0.755144	-0.310700	0.000002	0.000001	1.000000	0.992500	-0.053498	-0.855967	-0.528807	-0.310700	-0.302469	-0.372428	-0.500000	-0.755144	-0.668724	-0.650206	-0.510288	-0.948560	-0.707819	-0.236626	-0.602881	-0.150206	-0.783951	-0.804527	-0.851852	-0.135802	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.378601	0.220165	0.650206	0.224280	0.621399	0.000004	0.999999	0.000002	0.995000	0.841564	0.135802	0.407407	0.689300	0.681070	0.621399	0.500000	0.244856	0.331276	0.349794	0.473251	-0.014403	0.224280	0.744856	0.335391	0.553498	0.216049	0.164609	0.113169	0.679012	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.014565	0.507282	0.507282	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"NFC-HOA 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_nfchoa_corrected.wav	-0.305556	-0.519547	-0.208848	-0.495885	-0.230453	0.000002	0.000001	1.000000	0.877500	-0.047325	-0.619342	-0.279835	-0.242798	-0.187243	-0.275720	-0.329218	-0.691358	-0.471193	-0.543210	-0.495885	-0.485597	-0.545267	-0.030864	-0.113169	-0.281893	-0.086420	-0.370370	-0.771605	-0.230453	
"Stereo"	brs/brs_posx-0.50_posy0.75_stereo_corrected.wav	-0.099794	-0.173868	0.172840	-0.168724	0.160494	0.621513	0.310757	0.702090	0.522500	0.020576	-0.179012	-0.055556	0.456790	-0.098765	-0.168724	-0.286008	-0.267490	-0.111111	-0.341564	-0.166667	-0.510288	-0.100823	0.689300	0.316872	0.364198	0.160494	-0.078189	-0.119342	0.185185	
"LWFS-SBL 1024 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	-0.260288	-0.444444	-0.163580	-0.425926	-0.187243	0.000013	0.000007	0.999995	0.813750	-0.051440	-0.462963	-0.209877	-0.187243	-0.300412	0.121399	-0.403292	-0.569959	-0.473251	-0.244856	-0.425926	-0.304527	-0.275720	-0.088477	-0.244856	-0.199588	-0.034979	-0.516461	-0.709877	-0.139918	
"LWFS-SBL 512 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	-0.265432	-0.420782	-0.165638	-0.407407	-0.183128	0.000010	0.000005	0.999997	0.800000	-0.053498	-0.382716	-0.209877	-0.183128	-0.148148	0.004115	-0.343621	-0.567901	-0.469136	-0.236626	-0.489712	-0.434156	-0.275720	-0.183128	-0.255144	0.014403	-0.016461	-0.407407	-0.586420	-0.310700	
"LWFS-SBL 256 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	-0.274691	-0.372428	-0.209877	-0.360082	-0.222222	0.000002	0.000001	1.000000	0.837500	-0.049383	-0.296296	-0.197531	-0.265432	-0.302469	-0.109053	-0.384774	-0.572016	-0.578189	-0.232510	-0.360082	-0.711934	-0.545267	-0.183128	-0.310700	-0.240741	-0.193416	-0.222222	-0.267490	-0.281893	
"LWFS-SBL 128 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	-0.224280	-0.314815	-0.032922	-0.298354	-0.047325	0.000168	0.000084	0.999933	0.713750	-0.047325	-0.018519	-0.144033	-0.117284	-0.275720	0.002058	-0.467078	0.098765	-0.251029	-0.460905	-0.331276	-0.508230	-0.275720	-0.154321	-0.203704	-0.244856	-0.014403	-0.298354	-0.448560	0.141975	
"LWFS-SBL 64 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.049383	-0.043210	0.166667	-0.037037	0.156379	0.647655	0.689243	0.323828	0.517500	-0.037037	-0.049383	-0.384774	0.106996	0.181070	0.181070	0.236626	0.028807	0.086420	-0.008230	-0.008230	-0.528807	-0.401235	-0.030864	0.176955	0.156379	0.176955	0.069959	-0.351852	0.125514	
