# Data file generated by gp_save_table.m
# pairwise differences of ratings vs WFS
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	"VDA"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	-0.232510	-0.436214	-0.093621	-0.395062	-0.102881	0.000004	0.000002	1.000000	0.910000	-0.010288	-0.170782	-0.323045	-0.102881	0.000000	-0.039095	-0.063786	-0.477366	-0.246914	-0.168724	-0.218107	-0.084362	-0.388889	-0.539095	-0.395062	-0.528807	-0.506173	-0.485597	-0.337449	-0.174897	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.682099	0.522634	0.848765	0.522634	0.831276	0.000002	1.000000	0.000001	1.000000	0.806584	0.522634	0.586420	0.897119	1.000000	0.958848	0.936214	0.522634	0.753086	0.831276	0.761317	0.866255	0.611111	0.415638	0.574074	0.308642	0.310700	0.460905	0.567901	0.814815	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.014565	0.507282	0.507282	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"NFC-HOA 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_nfchoa_corrected.wav	-0.068930	-0.176955	0.042181	-0.176955	0.034979	0.097307	0.048654	0.958725	0.620000	-0.006173	-0.074074	0.055556	-0.063786	0.000000	-0.002058	0.034979	-0.281893	-0.135802	0.189300	-0.092593	0.446502	0.094650	-0.129630	0.049383	-0.434156	-0.598765	-0.358025	-0.176955	-0.176955	
"Stereo"	brs/brs_posx-0.50_posy0.75_stereo_corrected.wav	0.240741	0.096708	0.359053	0.098765	0.320988	0.003153	0.998644	0.001576	0.711250	-0.008230	0.253086	-0.203704	0.397119	0.506173	0.098765	0.129630	-0.421811	-0.080247	0.281893	0.251029	0.722222	0.415638	0.417695	0.119342	0.094650	0.230453	0.115226	0.265432	0.320988	
"LWFS-SBL 1024 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	-0.096708	-0.267490	-0.019547	-0.244856	-0.039095	0.001432	0.000716	0.999492	0.710000	0.008230	-0.290123	-0.086420	-0.084362	0.000000	-0.039095	-0.045267	-0.358025	-0.055556	-0.144033	-0.106996	0.090535	-0.244856	-0.413580	-0.226337	-0.446502	0.041152	-0.539095	0.072016	-0.146091	
"LWFS-SBL 512 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	-0.097737	-0.302469	-0.020576	-0.283951	-0.037037	0.000261	0.000131	0.999916	0.756250	-0.002058	0.106996	-0.037037	-0.074074	0.000000	-0.004115	-0.043210	-0.417695	-0.055556	-0.119342	-0.076132	0.016461	-0.320988	-0.263374	-0.283951	-0.551440	-0.598765	-0.421811	-0.248971	-0.172840	
"LWFS-SBL 256 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	-0.094650	-0.225309	-0.005144	-0.174897	-0.008230	0.001209	0.000605	0.999492	0.693750	-0.002058	-0.360082	-0.065844	-0.084362	0.000000	0.018519	-0.008230	-0.407407	-0.053498	-0.144033	-0.109053	0.010288	-0.104938	-0.275720	-0.144033	-0.559671	0.144033	-0.294239	-0.084362	-0.174897	
"LWFS-SBL 128 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	0.031893	-0.040123	0.126543	-0.037037	0.102881	0.245487	0.891916	0.122744	0.571250	0.000000	0.150206	0.032922	-0.037037	0.100823	0.300412	-0.012346	-0.043210	0.253086	0.078189	0.030864	0.102881	0.292181	-0.043210	-0.028807	-0.318930	0.076132	-0.125514	0.440329	-0.113169	
"LWFS-SBL 64 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.097737	-0.006173	0.197531	-0.002058	0.172840	0.017181	0.993192	0.008591	0.620000	-0.002058	-0.012346	-0.045267	0.032922	0.000000	0.172840	0.034979	-0.084362	0.337449	0.076132	-0.010288	0.491770	0.131687	0.119342	0.150206	-0.232510	0.286008	0.222222	0.164609	0.257202	
