# Data file generated by gp_save_table.m
# pairwise differences of ratings (Noise Vs Speech)
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	"VDA"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.000000	-0.026749	0.012346	-0.024691	0.010288	0.812355	0.406178	0.621917	0.522500	-0.008230	-0.481481	-0.028807	0.000000	0.000000	0.000000	-0.008230	0.000000	0.014403	0.000000	0.127572	-0.024691	0.039095	0.141975	-0.127572	0.006173	0.654321	-0.154321	-0.065844	0.010288	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.000000	-0.001029	0.000000	0.000000	0.000000	0.595819	0.297910	0.714702	0.510000	-0.273663	0.000000	0.236626	0.000000	0.000000	-0.002058	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002058	0.000000	0.115226	0.000000	-0.300412	0.000000	0.000000	0.096708	-0.006173	
"WFS"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_wfs_corrected.wav	0.452675	0.184156	0.564815	0.209877	0.561728	0.000013	0.999995	0.000007	0.887500	0.022634	0.798354	0.415638	0.446502	0.561728	0.240741	0.534979	0.477366	0.458848	-0.016461	0.158436	0.942387	0.209877	0.320988	0.728395	0.104938	0.711934	0.567901	-0.039095	0.561728	
"NFC-HOA 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_nfchoa_corrected.wav	0.000000	-0.020576	0.041152	-0.010288	0.026749	0.956329	0.478165	0.550841	0.512500	-0.010288	-0.213992	-0.034979	0.000000	0.000000	0.000000	0.002058	0.000000	-0.002058	-0.030864	0.055556	0.026749	0.074074	-0.004115	-0.213992	-0.006173	0.467078	-0.032922	0.086420	0.059671	
"Stereo"	brs/brs_posx0.00_posy0.00_stereo_corrected.wav	0.272634	0.056584	0.391975	0.067901	0.366255	0.000027	0.999990	0.000013	0.866250	0.018519	0.783951	0.010288	0.216049	0.329218	0.168724	0.244856	0.366255	0.417695	0.465021	0.343621	0.121399	0.300412	0.067901	0.355967	0.045267	0.839506	-0.106996	0.691358	0.024691	
"LWFS-SBL 1024 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	0.006173	0.000000	0.056584	0.000000	0.032922	0.105398	0.955153	0.052699	0.596250	0.026749	-0.331276	-0.028807	0.000000	0.000000	0.000000	0.137860	-0.022634	0.012346	0.002058	0.104938	0.012346	0.080247	0.032922	-0.018519	0.000000	0.681070	0.109053	0.000000	0.010288	
"LWFS-SBL 512 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	-0.007202	-0.033951	0.013374	-0.032922	0.010288	0.261099	0.130549	0.877256	0.465000	-0.016461	-0.263374	-0.032922	0.000000	0.000000	0.000000	0.016461	-0.024691	-0.034979	0.041152	0.018519	0.010288	-0.028807	-0.004115	-0.010288	-0.047325	0.263374	-0.283951	-0.117284	0.236626	
"LWFS-SBL 256 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	0.000000	-0.026749	0.058642	-0.026749	0.055556	0.545876	0.739163	0.272938	0.546250	-0.004115	-0.084362	0.378601	0.000000	0.000000	0.000000	-0.002058	0.010288	0.037037	0.113169	0.061728	-0.026749	-0.026749	0.002058	-0.067901	-0.080247	0.275720	0.253086	-0.090535	0.055556	
"LWFS-SBL 128 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	0.314815	0.172840	0.416667	0.195473	0.411523	0.000013	0.999995	0.000007	0.852500	0.014403	0.421811	0.370370	0.576132	0.150206	0.236626	0.372428	0.345679	0.411523	0.195473	0.551440	0.471193	0.281893	0.294239	0.335391	0.082305	0.547325	0.032922	0.195473	-0.111111	
"LWFS-SBL 64 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.293210	0.144033	0.469136	0.201646	0.444444	0.000048	0.999982	0.000024	0.787500	0.086420	0.493827	0.248971	0.522634	0.617284	0.201646	0.695473	0.279835	0.355967	0.306584	0.232510	0.351852	0.382716	0.444444	0.518519	-0.096708	-0.041152	0.047325	0.220165	-0.004115	
